,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
0,0.0,2.4,2.4,2.4,1.2,2.4,0.0,0.0,3.6,3.6,1.2,1.2,1.2,0.0,1.2,1.2,1.2,0.0,3.6,2.4,2.4,3.6,2.4,1.2,5.999999999999999,3.6,-1.2,0.0,1.2,-1.2,0.0,3.6,2.4,1.2,2.4,-1.2,1.2,3.6,-1.2,2.4,2.4,2.4,1.2,3.6,1.2,1.2,0.0,3.6,-1.2,2.4,1.2,2.4,0.0,0.0,2.4,1.2,1.2,2.4,1.2,2.4,-1.2,2.4,1.2,2.4,1.2,2.4,2.4,1.2,-1.2,2.4,0.0,3.6,2.4,1.2,2.4,1.2,2.4,3.6,-1.2,2.4,2.4,0.0,1.2,0.0,2.4,1.2,4.8,0.0,1.2,0.0,0.0,1.2,2.4,0.0,1.2,2.4,0.0,1.2,0.0,1.2
1,0.0,0.0,1.2,0.0,1.2,3.6,-1.2,2.4,-1.2,-1.2,3.6,1.2,1.2,1.2,2.4,1.2,1.2,3.6,0.0,2.4,1.2,2.4,1.2,-1.2,2.4,0.0,1.2,1.2,2.4,1.2,1.2,1.2,1.2,2.4,2.4,2.4,0.0,0.0,3.6,2.4,3.6,2.4,3.6,3.6,0.0,-1.2,1.2,0.0,1.2,2.4,0.0,1.2,2.4,0.0,3.6,0.0,0.0,3.6,0.0,3.6,2.4,2.4,0.0,1.2,2.4,0.0,3.6,0.0,0.0,1.2,3.6,2.4,1.2,0.0,3.6,1.2,4.8,1.2,1.2,2.4,3.6,-1.2,1.2,1.2,0.0,1.2,2.4,0.0,2.4,2.4,2.4,2.4,1.2,1.2,3.6,2.4,3.6,1.2,2.4,0.0
2,1.2,3.6,1.2,2.4,1.2,0.0,0.0,-1.2,1.2,2.4,0.0,1.2,2.4,2.4,0.0,2.4,-2.4,3.6,-1.2,-1.2,0.0,2.4,1.2,3.6,1.2,0.0,2.4,2.4,4.8,2.4,2.4,2.4,1.2,1.2,2.4,1.2,2.4,2.4,2.4,4.8,2.4,-1.2,3.6,2.4,3.6,-1.2,0.0,-1.2,0.0,0.0,3.6,1.2,1.2,3.6,4.8,3.6,1.2,-1.2,0.0,2.4,1.2,1.2,1.2,2.4,2.4,1.2,3.6,-1.2,3.6,1.2,3.6,2.4,2.4,1.2,1.2,1.2,1.2,0.0,2.4,0.0,2.4,3.6,1.2,1.2,3.6,1.2,3.6,2.4,2.4,0.0,-1.2,4.8,1.2,3.6,3.6,3.6,-1.2,3.6,2.4,2.4
3,4.8,2.4,1.2,0.0,0.0,1.2,0.0,2.4,1.2,1.2,3.6,-2.4,0.0,2.4,2.4,2.4,1.2,1.2,2.4,1.2,1.2,0.0,3.6,2.4,0.0,0.0,1.2,0.0,1.2,-1.2,3.6,3.6,0.0,1.2,0.0,2.4,1.2,2.4,2.4,-1.2,1.2,0.0,-1.2,1.2,0.0,5.999999999999999,2.4,-1.2,1.2,2.4,0.0,1.2,0.0,0.0,2.4,1.2,2.4,1.2,2.4,0.0,2.4,0.0,3.6,0.0,2.4,1.2,2.4,1.2,0.0,3.6,3.6,3.6,1.2,3.6,1.2,1.2,3.6,3.6,2.4,2.4,1.2,0.0,2.4,-1.2,2.4,1.2,2.4,3.6,1.2,2.4,0.0,2.4,1.2,0.0,2.4,-1.2,1.2,1.2,3.6,2.4
4,1.2,2.4,0.0,2.4,3.6,-2.4,-1.2,2.4,1.2,-1.2,1.2,2.4,1.2,-1.2,1.2,1.2,1.2,1.2,-1.2,1.2,1.2,1.2,0.0,2.4,1.2,3.6,0.0,0.0,0.0,1.2,0.0,0.0,3.6,3.6,1.2,3.6,0.0,1.2,0.0,2.4,1.2,2.4,0.0,3.6,0.0,-1.2,0.0,2.4,-1.2,2.4,1.2,1.2,1.2,1.2,1.2,2.4,0.0,1.2,2.4,0.0,1.2,3.6,1.2,0.0,-3.6,0.0,1.2,1.2,2.4,1.2,1.2,0.0,1.2,4.8,-1.2,2.4,-1.2,4.8,4.8,3.6,1.2,1.2,1.2,0.0,0.0,2.4,1.2,3.6,1.2,1.2,1.2,1.2,0.0,3.6,0.0,1.2,1.2,0.0,3.6,3.6
5,1.2,2.4,1.2,2.4,4.8,-1.2,0.0,1.2,2.4,2.4,1.2,3.6,1.2,1.2,2.4,0.0,2.4,0.0,2.4,0.0,2.4,2.4,0.0,1.2,3.6,0.0,2.4,0.0,3.6,1.2,0.0,2.4,0.0,0.0,4.8,2.4,1.2,2.4,1.2,2.4,-1.2,2.4,3.6,1.2,1.2,2.4,1.2,1.2,1.2,2.4,1.2,2.4,1.2,3.6,4.8,3.6,3.6,0.0,2.4,1.2,1.2,0.0,1.2,1.2,0.0,1.2,0.0,2.4,0.0,2.4,2.4,-1.2,3.6,1.2,3.6,2.4,1.2,0.0,0.0,3.6,2.4,1.2,0.0,2.4,0.0,1.2,1.2,0.0,1.2,3.6,0.0,2.4,3.6,2.4,0.0,2.4,1.2,-1.2,-1.2,2.4
6,1.2,3.6,2.4,0.0,-3.6,1.2,0.0,3.6,-1.2,1.2,1.2,1.2,0.0,1.2,-1.2,1.2,3.6,0.0,3.6,1.2,1.2,1.2,0.0,0.0,2.4,3.6,1.2,1.2,0.0,2.4,1.2,1.2,1.2,2.4,2.4,1.2,1.2,1.2,0.0,4.8,1.2,1.2,2.4,1.2,0.0,3.6,1.2,0.0,2.4,1.2,2.4,0.0,-3.6,0.0,1.2,2.4,2.4,2.4,3.6,0.0,3.6,2.4,2.4,2.4,1.2,3.6,-1.2,3.6,0.0,1.2,0.0,1.2,-1.2,0.0,-1.2,1.2,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,0.0,2.4,0.0,2.4,2.4,2.4,1.2,1.2,3.6,-1.2,-2.4,1.2,1.2,1.2,2.4,1.2
7,1.2,3.6,1.2,0.0,1.2,1.2,2.4,1.2,-1.2,1.2,3.6,3.6,0.0,-1.2,1.2,1.2,0.0,2.4,1.2,2.4,1.2,-1.2,-1.2,2.4,1.2,1.2,2.4,0.0,3.6,3.6,2.4,3.6,1.2,2.4,-1.2,0.0,2.4,4.8,2.4,-1.2,1.2,1.2,0.0,3.6,3.6,3.6,0.0,1.2,2.4,3.6,2.4,0.0,1.2,1.2,1.2,2.4,0.0,2.4,1.2,1.2,1.2,0.0,2.4,1.2,2.4,1.2,2.4,3.6,3.6,1.2,3.6,2.4,1.2,-1.2,1.2,1.2,2.4,0.0,2.4,2.4,3.6,2.4,0.0,3.6,1.2,1.2,1.2,0.0,3.6,1.2,1.2,1.2,0.0,0.0,-1.2,0.0,0.0,2.4,2.4,4.8
8,2.4,-11.999999999999998,1.2,0.0,0.0,-1.2,2.4,1.2,-1.2,-1.2,-9.6,-1.2,-3.6,2.4,-7.2,-1.2,1.2,2.4,-1.2,-1.2,0.0,-3.6,-1.2,-1.2,-10.8,-1.2,-2.4,-3.6,1.2,-8.4,-9.6,3.6,0.0,0.0,-1.2,1.2,-13.199999999999998,-1.2,-3.6,-2.4,0.0,1.2,-9.6,-3.6,-1.2,-4.8,0.0,-16.8,0.0,-3.6,2.4,-1.2,-3.6,-4.8,-2.4,3.6,2.4,2.4,-7.2,1.2,-4.8,0.0,-10.8,2.4,-5.999999999999999,-1.2,-2.4,-1.2,0.0,0.0,1.2,-1.2,-4.8,-1.2,-2.4,1.2,-3.6,3.6,-3.6,-4.8,-4.8,-2.4,-2.4,0.0,-13.199999999999998,1.2,-3.6,-3.6,-1.2,-2.4,-3.6,-3.6,1.2,-7.2,-1.2,-3.6,-5.999999999999999,-2.4,-15.6,-2.4
9,-4.8,-50.39999999999999,-13.199999999999998,-38.4,-26.399999999999995,-9.6,-9.6,-5.999999999999999,-25.2,-31.2,-53.99999999999999,-7.2,-14.4,-8.4,-32.4,-19.2,-3.6,-7.2,-11.999999999999998,-26.399999999999995,-7.2,-24.0,-3.6,-38.4,-43.2,-16.8,-13.199999999999998,-44.39999999999999,-7.2,-34.8,-40.8,-14.4,-14.4,-9.6,-8.4,-9.6,-67.2,-14.4,-52.79999999999999,-18.0,-3.6,-13.199999999999998,-68.39999999999999,-30.0,-40.8,-28.8,-39.6,-97.2,-3.6,-16.8,-2.4,-22.8,-47.99999999999999,-32.4,-31.2,-10.8,-4.8,-5.999999999999999,-44.39999999999999,-11.999999999999998,-44.39999999999999,-22.8,-67.2,-16.8,-44.39999999999999,-14.4,-7.2,-22.8,-14.4,-28.8,-4.8,-14.4,-47.99999999999999,-9.6,-10.8,-25.2,-33.6,-4.8,-9.6,-72.0,-19.2,-7.2,-53.99999999999999,-5.999999999999999,-49.2,-16.8,-15.6,-41.99999999999999,-5.999999999999999,-16.8,-32.4,-56.39999999999999,-4.8,-31.2,-7.2,-15.6,-38.4,-53.99999999999999,-63.59999999999999,-50.39999999999999
10,-15.6,-51.6,-25.2,-85.2,-49.2,-25.2,-26.399999999999995,-22.8,-65.99999999999999,-80.4,-61.2,-25.2,-20.4,-34.8,-43.2,-28.8,-11.999999999999998,-11.999999999999998,-14.4,-31.2,-15.6,-44.39999999999999,-18.0,-98.4,-46.8,-31.2,-20.4,-67.2,-24.0,-36.0,-44.39999999999999,-41.99999999999999,-25.2,-26.399999999999995,-9.6,-16.8,-74.39999999999999,-31.2,-110.39999999999998,-20.4,-13.199999999999998,-24.0,-105.59999999999998,-61.2,-81.6,-34.8,-62.4,-104.4,-10.8,-22.8,-11.999999999999998,-49.2,-106.8,-33.6,-55.19999999999999,-28.8,-13.199999999999998,-22.8,-61.2,-30.0,-82.8,-40.8,-83.99999999999999,-26.399999999999995,-83.99999999999999,-38.4,-10.8,-55.19999999999999,-32.4,-85.2,-15.6,-36.0,-93.6,-28.8,-16.8,-86.39999999999999,-52.79999999999999,-18.0,-11.999999999999998,-116.4,-25.2,-14.4,-98.4,-11.999999999999998,-57.6,-31.2,-18.0,-126.0,-9.6,-30.0,-57.6,-118.79999999999998,-11.999999999999998,-40.8,-10.8,-25.2,-40.8,-122.4,-70.79999999999998,-98.4
11,-13.199999999999998,-28.8,-21.6,-61.2,-30.0,-20.4,-20.4,-18.0,-60.0,-69.6,-37.2,-19.2,-13.199999999999998,-32.4,-25.2,-14.4,-10.8,-9.6,-8.4,-18.0,-10.8,-30.0,-18.0,-74.39999999999999,-25.2,-21.6,-14.4,-43.2,-22.8,-15.6,-25.2,-33.6,-15.6,-21.6,-4.8,-10.8,-37.2,-24.0,-80.4,-13.199999999999998,-13.199999999999998,-15.6,-67.2,-43.2,-56.39999999999999,-16.8,-36.0,-55.19999999999999,-10.8,-13.199999999999998,-10.8,-41.99999999999999,-86.39999999999999,-16.8,-36.0,-28.8,-10.8,-18.0,-40.8,-28.8,-62.4,-26.399999999999995,-44.39999999999999,-21.6,-58.8,-27.599999999999994,-2.4,-46.8,-24.0,-72.0,-10.8,-28.8,-65.99999999999999,-21.6,-8.4,-81.6,-30.0,-13.199999999999998,1.2,-69.6,-14.4,-9.6,-61.2,-9.6,-32.4,-22.8,-8.4,-111.6,-4.8,-20.4,-39.6,-82.8,-9.6,-20.4,-5.999999999999999,-13.199999999999998,-21.6,-97.2,-34.8,-72.0
12,-2.4,-11.999999999999998,-7.2,-24.0,-7.2,-8.4,-7.2,-11.999999999999998,-31.2,-32.4,-18.0,-7.2,-5.999999999999999,-16.8,-9.6,-1.2,-4.8,0.0,-4.8,-5.999999999999999,-3.6,-14.4,-8.4,-27.599999999999994,-9.6,-10.8,-5.999999999999999,-20.4,-11.999999999999998,-7.2,-11.999999999999998,-10.8,-2.4,-9.6,-2.4,-2.4,-16.8,-10.8,-36.0,-4.8,-10.8,-2.4,-26.399999999999995,-20.4,-20.4,-2.4,-10.8,-20.4,-4.8,-4.8,-5.999999999999999,-19.2,-37.2,-4.8,-15.6,-13.199999999999998,-2.4,-4.8,-13.199999999999998,-14.4,-25.2,-10.8,-13.199999999999998,-9.6,-22.8,-10.8,-1.2,-22.8,-8.4,-26.399999999999995,-3.6,-13.199999999999998,-24.0,-10.8,-3.6,-41.99999999999999,-10.8,0.0,0.0,-21.6,-7.2,-2.4,-22.8,-3.6,-11.999999999999998,-10.8,-2.4,-53.99999999999999,-1.2,-11.999999999999998,-14.4,-31.2,-2.4,-7.2,-2.4,-4.8,-8.4,-39.6,-13.199999999999998,-27.599999999999994
13,-1.2,-5.999999999999999,-1.2,-8.4,-1.2,-2.4,0.0,-3.6,-10.8,-11.999999999999998,-5.999999999999999,-3.6,-1.2,-4.8,-4.8,-2.4,1.2,1.2,-1.2,0.0,1.2,-4.8,0.0,-10.8,-3.6,-3.6,-2.4,-8.4,-3.6,-2.4,-4.8,-3.6,2.4,-4.8,2.4,-1.2,-5.999999999999999,-2.4,-13.199999999999998,-1.2,-2.4,0.0,-10.8,-10.8,-9.6,0.0,-2.4,-8.4,-3.6,-1.2,-2.4,-8.4,-14.4,-3.6,-4.8,-2.4,1.2,0.0,-8.4,-4.8,-11.999999999999998,-4.8,-10.8,-4.8,-7.2,-3.6,0.0,-5.999999999999999,-5.999999999999999,-5.999999999999999,-1.2,-4.8,-11.999999999999998,1.2,1.2,-14.4,-3.6,-1.2,-1.2,-4.8,-1.2,-1.2,-8.4,-3.6,-4.8,-2.4,1.2,-18.0,2.4,-3.6,-4.8,-10.8,-1.2,-3.6,0.0,-3.6,-5.999999999999999,-15.6,-5.999999999999999,-9.6
14,-3.6,-2.4,-2.4,-7.2,-1.2,-3.6,1.2,-4.8,-1.2,-7.2,-2.4,-2.4,2.4,-4.8,-1.2,0.0,1.2,0.0,1.2,1.2,0.0,-1.2,0.0,-5.999999999999999,-1.2,-2.4,0.0,-2.4,-1.2,-1.2,-3.6,0.0,-2.4,-1.2,2.4,0.0,-1.2,-2.4,-5.999999999999999,3.6,3.6,1.2,-5.999999999999999,-4.8,-1.2,0.0,-3.6,-4.8,-1.2,-2.4,-1.2,-2.4,-4.8,-1.2,0.0,-1.2,0.0,-1.2,-1.2,-1.2,-5.999999999999999,-1.2,-3.6,-2.4,-5.999999999999999,-2.4,1.2,-2.4,-2.4,-7.2,-1.2,-4.8,-7.2,1.2,2.4,-4.8,-3.6,0.0,1.2,-3.6,2.4,3.6,-1.2,-2.4,0.0,0.0,-1.2,-11.999999999999998,-1.2,0.0,-2.4,-4.8,0.0,-2.4,-1.2,-1.2,-5.999999999999999,-7.2,-2.4,-3.6
15,1.2,1.2,0.0,-1.2,5.999999999999999,-1.2,1.2,-1.2,2.4,-3.6,0.0,-2.4,2.4,-1.2,0.0,1.2,0.0,0.0,0.0,1.2,1.2,0.0,2.4,-2.4,3.6,-1.2,-2.4,-1.2,-1.2,1.2,0.0,1.2,0.0,-1.2,1.2,1.2,1.2,1.2,1.2,0.0,-2.4,-1.2,1.2,2.4,0.0,2.4,1.2,0.0,1.2,0.0,2.4,-1.2,1.2,3.6,3.6,1.2,1.2,-1.2,1.2,-2.4,-1.2,0.0,2.4,0.0,0.0,3.6,2.4,-1.2,0.0,-1.2,0.0,1.2,-1.2,0.0,3.6,-2.4,0.0,1.2,1.2,0.0,1.2,-1.2,2.4,-1.2,-2.4,2.4,0.0,-2.4,1.2,1.2,2.4,0.0,3.6,1.2,0.0,1.2,-1.2,-2.4,0.0,-1.2
16,2.4,0.0,-1.2,-3.6,1.2,1.2,1.2,-2.4,1.2,0.0,-1.2,1.2,-2.4,-1.2,-3.6,1.2,1.2,0.0,0.0,0.0,1.2,-1.2,2.4,-3.6,-1.2,-1.2,-1.2,-2.4,1.2,-2.4,-1.2,1.2,0.0,3.6,1.2,2.4,-2.4,1.2,3.6,1.2,1.2,2.4,0.0,1.2,1.2,0.0,1.2,-1.2,2.4,0.0,1.2,0.0,-3.6,0.0,1.2,2.4,2.4,2.4,-2.4,1.2,1.2,1.2,-1.2,1.2,0.0,1.2,1.2,-1.2,2.4,0.0,0.0,1.2,-2.4,3.6,2.4,0.0,0.0,1.2,-1.2,0.0,1.2,2.4,-1.2,1.2,-3.6,0.0,-1.2,1.2,2.4,2.4,0.0,-2.4,1.2,-3.6,0.0,0.0,-1.2,-1.2,-1.2,0.0
17,2.4,-1.2,1.2,-2.4,-2.4,-2.4,0.0,-1.2,-3.6,-5.999999999999999,-4.8,0.0,1.2,0.0,-2.4,-1.2,-1.2,1.2,0.0,1.2,2.4,-1.2,1.2,-4.8,-2.4,0.0,0.0,-4.8,0.0,0.0,-2.4,1.2,-1.2,0.0,1.2,1.2,-4.8,-1.2,-4.8,1.2,-2.4,-2.4,-3.6,-1.2,-4.8,-1.2,-2.4,-5.999999999999999,1.2,-1.2,0.0,-1.2,-4.8,0.0,-2.4,-1.2,1.2,-1.2,-3.6,-1.2,-4.8,-2.4,-3.6,0.0,-4.8,0.0,1.2,-3.6,-1.2,-3.6,0.0,-1.2,-4.8,1.2,-2.4,-3.6,-4.8,1.2,1.2,-2.4,-1.2,0.0,-5.999999999999999,0.0,-2.4,-1.2,-1.2,-5.999999999999999,-1.2,0.0,-5.999999999999999,-4.8,1.2,-3.6,-1.2,2.4,-3.6,-4.8,0.0,-3.6
18,2.4,-2.4,1.2,-2.4,-2.4,-3.6,-2.4,0.0,-3.6,-7.2,-1.2,1.2,4.8,-1.2,-1.2,0.0,0.0,0.0,-2.4,0.0,0.0,-2.4,1.2,-4.8,-1.2,0.0,-1.2,0.0,0.0,-1.2,-1.2,-2.4,-3.6,0.0,1.2,-1.2,-1.2,-3.6,-4.8,1.2,-1.2,2.4,-2.4,-1.2,-4.8,1.2,0.0,-3.6,0.0,-2.4,1.2,-1.2,-3.6,1.2,1.2,-1.2,3.6,0.0,0.0,-1.2,-1.2,-2.4,-3.6,1.2,-3.6,-1.2,1.2,-2.4,-2.4,-2.4,2.4,0.0,-2.4,0.0,1.2,-2.4,0.0,1.2,3.6,-1.2,1.2,1.2,-4.8,1.2,-1.2,1.2,-1.2,-7.2,2.4,-1.2,-3.6,-4.8,0.0,-3.6,3.6,1.2,-3.6,-7.2,-1.2,-4.8
19,1.2,-2.4,-2.4,-4.8,1.2,0.0,0.0,-2.4,-2.4,-2.4,-1.2,0.0,1.2,1.2,-1.2,0.0,1.2,-2.4,0.0,0.0,2.4,-2.4,0.0,-1.2,-2.4,1.2,0.0,0.0,0.0,1.2,-1.2,1.2,0.0,2.4,1.2,1.2,-1.2,1.2,-4.8,1.2,-1.2,0.0,-2.4,0.0,-2.4,1.2,-1.2,-3.6,1.2,0.0,0.0,-2.4,-3.6,-1.2,1.2,1.2,1.2,0.0,0.0,-1.2,0.0,-1.2,-1.2,-1.2,0.0,3.6,2.4,0.0,1.2,-1.2,0.0,-1.2,-1.2,1.2,0.0,1.2,-1.2,0.0,1.2,-4.8,1.2,1.2,-2.4,-1.2,-2.4,1.2,1.2,-5.999999999999999,1.2,-2.4,-2.4,0.0,0.0,-2.4,0.0,0.0,-2.4,0.0,-1.2,-3.6
20,1.2,-1.2,-1.2,-5.999999999999999,1.2,1.2,-1.2,1.2,-1.2,-3.6,-2.4,-1.2,-2.4,-2.4,0.0,0.0,1.2,1.2,1.2,1.2,2.4,0.0,1.2,-3.6,0.0,0.0,-1.2,0.0,-1.2,-1.2,-1.2,0.0,-2.4,0.0,0.0,2.4,2.4,0.0,-4.8,1.2,1.2,2.4,-4.8,-1.2,-4.8,2.4,-1.2,-2.4,0.0,0.0,0.0,-1.2,-2.4,-1.2,0.0,1.2,0.0,0.0,1.2,-1.2,-1.2,-2.4,0.0,0.0,-2.4,0.0,1.2,1.2,-1.2,-3.6,2.4,1.2,-3.6,-1.2,0.0,-1.2,-1.2,2.4,1.2,-2.4,1.2,0.0,1.2,3.6,-1.2,0.0,1.2,-7.2,2.4,0.0,1.2,-5.999999999999999,2.4,-1.2,-2.4,2.4,0.0,-4.8,0.0,-1.2
21,0.0,1.2,0.0,1.2,1.2,0.0,1.2,2.4,-2.4,0.0,-1.2,2.4,3.6,-2.4,-1.2,4.8,-1.2,1.2,0.0,2.4,0.0,2.4,1.2,-2.4,-1.2,1.2,0.0,2.4,2.4,1.2,3.6,-1.2,1.2,-1.2,0.0,1.2,0.0,0.0,-1.2,1.2,2.4,2.4,1.2,1.2,0.0,0.0,2.4,3.6,0.0,1.2,0.0,0.0,-1.2,0.0,0.0,0.0,1.2,3.6,1.2,2.4,-1.2,1.2,1.2,2.4,2.4,1.2,4.8,0.0,3.6,1.2,4.8,1.2,2.4,-2.4,3.6,0.0,1.2,4.8,1.2,2.4,1.2,1.2,0.0,1.2,2.4,1.2,1.2,-1.2,3.6,0.0,1.2,0.0,-1.2,-2.4,1.2,-1.2,3.6,-2.4,3.6,1.2
22,2.4,2.4,2.4,2.4,1.2,2.4,0.0,0.0,-1.2,2.4,1.2,3.6,2.4,1.2,1.2,0.0,0.0,0.0,1.2,1.2,0.0,2.4,1.2,-1.2,-3.6,0.0,1.2,1.2,0.0,1.2,2.4,4.8,1.2,2.4,1.2,1.2,-1.2,2.4,1.2,2.4,1.2,2.4,3.6,0.0,2.4,0.0,0.0,0.0,2.4,1.2,2.4,1.2,1.2,1.2,1.2,3.6,0.0,2.4,1.2,0.0,1.2,0.0,3.6,1.2,2.4,1.2,1.2,2.4,0.0,0.0,-1.2,1.2,2.4,2.4,3.6,2.4,3.6,1.2,-1.2,2.4,2.4,-1.2,-1.2,0.0,1.2,0.0,1.2,3.6,3.6,2.4,0.0,0.0,1.2,1.2,3.6,1.2,2.4,2.4,-1.2,3.6
23,2.4,0.0,1.2,-2.4,1.2,1.2,2.4,0.0,0.0,0.0,1.2,0.0,-1.2,1.2,-1.2,-1.2,1.2,0.0,2.4,0.0,1.2,2.4,2.4,-1.2,1.2,1.2,-1.2,3.6,1.2,1.2,2.4,1.2,1.2,1.2,2.4,-1.2,1.2,1.2,1.2,2.4,0.0,1.2,1.2,0.0,1.2,1.2,1.2,-1.2,-1.2,2.4,-1.2,-3.6,1.2,0.0,1.2,1.2,0.0,0.0,2.4,-1.2,0.0,2.4,-2.4,1.2,3.6,2.4,0.0,0.0,0.0,1.2,3.6,1.2,0.0,3.6,2.4,2.4,0.0,2.4,1.2,0.0,3.6,1.2,2.4,1.2,-1.2,1.2,3.6,1.2,1.2,-1.2,-2.4,0.0,0.0,0.0,3.6,2.4,0.0,2.4,-1.2,2.4
24,1.2,-1.2,-3.6,1.2,3.6,3.6,3.6,2.4,1.2,1.2,-1.2,0.0,-2.4,2.4,1.2,1.2,2.4,0.0,2.4,3.6,1.2,1.2,3.6,0.0,2.4,3.6,0.0,3.6,-1.2,-1.2,3.6,2.4,1.2,1.2,1.2,1.2,0.0,-1.2,0.0,-1.2,3.6,1.2,1.2,2.4,1.2,0.0,2.4,1.2,2.4,1.2,2.4,-1.2,-2.4,-1.2,-1.2,2.4,2.4,0.0,1.2,0.0,1.2,4.8,0.0,-1.2,-1.2,1.2,2.4,1.2,-1.2,1.2,3.6,3.6,0.0,0.0,1.2,0.0,1.2,0.0,0.0,1.2,0.0,3.6,3.6,1.2,0.0,-1.2,1.2,0.0,1.2,2.4,1.2,-1.2,1.2,-1.2,0.0,0.0,0.0,-2.4,0.0,1.2
